city,inhabitants,lat,long
St. Gallen,76213,47.4236348788357,9.36222941350770
Feldkirch,34998,47.2412800000000,9.60190000000000
Dornbirn,50360,47.4124000000000,9.74379000000000
Chur,39984,46.8481770916096,9.53279983527006
Winterthur,120097,47.4916218733260,8.72954884269744
Rapperswil,27483,47.2275961458580,8.81660014410613
Zürich,439589,47.3720485326642,8.54134929699744
Kreuzlingen,22470,47.6446776901509,9.17320239617277
Wil SG,24132,47.4410441992157,9.05363421027719
