mean_age,total_pop,share_0to14,share_15to19,share_20to39,share_40to64,share_65to79,share_above80,share_foreigners,share_catholics,share_other_relig,share_protestants,unemployment_rate,taxpower,distance_to_nearest_city,packages,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,weekday_DI,weekday_DO,weekday_FR,weekday_MI,weekday_MO,weekday_SA,weekday_SO
-2.0418052986340656,-0.5451043279336195,2.232769280371325,-0.20509402889734174,0.3626056224604716,-0.6142125413906432,-2.2652770757409977,0.025104588957339656,-1.1371057866813385,1.4089465834684451,-1.3740845885251973,-0.2696517747264209,-1.230340820576091,-0.212834102290285,-0.4691171584868542,403,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.0418052986340656,-0.5451043279336195,2.232769280371325,-0.20509402889734174,0.3626056224604716,-0.6142125413906432,-2.2652770757409977,0.025104588957339656,-1.1371057866813385,1.4089465834684451,-1.3740845885251973,-0.2696517747264209,-1.230340820576091,-0.212834102290285,-0.4691171584868542,359,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.0418052986340656,-0.5451043279336195,2.232769280371325,-0.20509402889734174,0.3626056224604716,-0.6142125413906432,-2.2652770757409977,0.025104588957339656,-1.1371057866813385,1.4089465834684451,-1.3740845885251973,-0.2696517747264209,-1.230340820576091,-0.212834102290285,-0.4691171584868542,357,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.0418052986340656,-0.5451043279336195,2.232769280371325,-0.20509402889734174,0.3626056224604716,-0.6142125413906432,-2.2652770757409977,0.025104588957339656,-1.1371057866813385,1.4089465834684451,-1.3740845885251973,-0.2696517747264209,-1.230340820576091,-0.212834102290285,-0.4691171584868542,346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.0418052986340656,-0.5451043279336195,2.232769280371325,-0.20509402889734174,0.3626056224604716,-0.6142125413906432,-2.2652770757409977,0.025104588957339656,-1.1371057866813385,1.4089465834684451,-1.3740845885251973,-0.2696517747264209,-1.230340820576091,-0.212834102290285,-0.4691171584868542,230,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.0418052986340656,-0.5451043279336195,2.232769280371325,-0.20509402889734174,0.3626056224604716,-0.6142125413906432,-2.2652770757409977,0.025104588957339656,-1.1371057866813385,1.4089465834684451,-1.3740845885251973,-0.2696517747264209,-1.230340820576091,-0.212834102290285,-0.4691171584868542,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-2.0418052986340656,-0.5451043279336195,2.232769280371325,-0.20509402889734174,0.3626056224604716,-0.6142125413906432,-2.2652770757409977,0.025104588957339656,-1.1371057866813385,1.4089465834684451,-1.3740845885251973,-0.2696517747264209,-1.230340820576091,-0.212834102290285,-0.4691171584868542,361,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.0418052986340656,-0.5451043279336195,2.232769280371325,-0.20509402889734174,0.3626056224604716,-0.6142125413906432,-2.2652770757409977,0.025104588957339656,-1.1371057866813385,1.4089465834684451,-1.3740845885251973,-0.2696517747264209,-1.230340820576091,-0.212834102290285,-0.4691171584868542,331,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.0418052986340656,-0.5451043279336195,2.232769280371325,-0.20509402889734174,0.3626056224604716,-0.6142125413906432,-2.2652770757409977,0.025104588957339656,-1.1371057866813385,1.4089465834684451,-1.3740845885251973,-0.2696517747264209,-1.230340820576091,-0.212834102290285,-0.4691171584868542,280,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.0418052986340656,-0.5451043279336195,2.232769280371325,-0.20509402889734174,0.3626056224604716,-0.6142125413906432,-2.2652770757409977,0.025104588957339656,-1.1371057866813385,1.4089465834684451,-1.3740845885251973,-0.2696517747264209,-1.230340820576091,-0.212834102290285,-0.4691171584868542,338,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
