BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
1,Gesamtschweiz,4.8,4.8,4.9,5.,5.1,5.2,5.3,5.3,5.4,5.5,5.6,5.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
5,Grossregion Ostschweiz,4.8,4.8,5.,5.1,5.2,5.4,5.5,5.6,5.8,5.9,6.1,6.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
8,Kanton Glarus,4.6,4.6,4.7,4.9,5.,5.3,5.4,5.5,5.8,5.8,6.,6.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
14,Kanton Schaffhausen,4.5,4.6,4.6,4.8,4.9,5.,5.1,5.2,5.3,5.5,5.6,5.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
15,Kanton Appenzell a.Rh.,4.6,4.6,4.7,4.9,5.2,5.5,5.8,6.,6.1,6.3,6.4,6.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
16,Kanton Appenzell i.Rh.,4.9,5.1,5.3,5.5,5.9,6.2,6.5,6.7,7.,7.1,7.3,7.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
17,Kanton St.Gallen,5.,5.,5.2,5.3,5.4,5.6,5.7,5.7,5.9,6.,6.2,6.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
18,Kanton Graubünden,4.4,4.6,4.8,4.9,5.,5.2,5.2,5.2,5.3,5.4,5.6,5.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
20,Kanton Thurgau,4.8,4.8,4.9,5.,5.2,5.4,5.5,5.7,5.9,6.1,6.3,6.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1721,Wahlkreis St.Gallen,4.9,4.9,5.,5.,5.,5.1,5.2,5.3,5.4,5.5,5.6,5.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1722,Wahlkreis Rorschach,4.7,4.8,5.,5.2,5.4,5.5,5.5,5.6,5.8,5.9,6.,6.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1723,Wahlkreis Rheintal,5.1,5.2,5.4,5.5,5.8,5.8,6.,6.,6.2,6.2,6.5,6.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1724,Wahlkreis Werdenberg,4.7,4.8,5.,5.,5.2,5.2,5.5,5.6,5.8,5.9,6.2,6.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1725,Wahlkreis Sarganserland,4.7,4.8,4.9,5.1,5.3,5.6,5.6,5.7,5.8,6.,6.2,6.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1726,Wahlkreis See-Gaster,5.,5.1,5.1,5.3,5.4,5.5,5.6,5.7,5.8,6.1,6.2,6.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1727,Wahlkreis Toggenburg,5.4,5.4,5.6,5.7,5.7,5.9,6.2,6.3,6.6,6.9,7.2,7.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1728,Wahlkreis Wil,5.3,5.3,5.5,5.6,5.8,5.9,6.,6.,6.1,6.3,6.5,6.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3201,Häggenschwil,4.8,5.1,5.5,6.2,6.8,8.2,8.,8.4,8.,8.,7.3,9.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3202,Muolen,6.4,5.5,6.1,6.8,7.,6.5,7.7,7.3,7.3,7.4,7.,7.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3203,Stadt St.Gallen,4.5,4.6,4.6,4.7,4.7,4.8,4.9,4.9,5.,5.1,5.2,5.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3204,Wittenbach,5.4,5.6,5.8,5.6,5.5,5.5,5.1,5.2,5.6,5.5,5.5,5.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
